   0,00   0,00   0,00   0,00   0,00 104,86   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00 163,84   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00 131,07   0,00   0,00   0,00   0,00   0,00 204,80   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 163,84   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
  83,89   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00 104,86   0,00   0,00   0,00   0,00   0,00 163,84   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00 204,80   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00 163,84   0,00   0,00   0,00 163,84   0,00 163,84   0,00   0,00   0,00 256,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00 131,07   0,00   0,00   0,00 204,80   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00 104,86   0,00   0,00   0,00   0,00   0,00 163,84   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00 204,80   0,00   0,00   0,00 131,07   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 163,84   0,00 256,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 204,80   0,00   0,00   0,00 204,80   0,00   0,00   0,00   0,00   0,00 320,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 400,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00   0,00   0,00  83,89   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 163,84   0,00   0,00   0,00 104,86   0,00   0,00   0,00   0,00   0,00 104,86   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 320,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 256,00   0,00   0,00   0,00 256,00   0,00 400,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 320,00   0,00   0,00   0,00 320,00   0,00   0,00   0,00   0,00   0,00 500,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 104,86   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 131,07   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 400,00   0,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 320,00   0,00 500,00
   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 400,00   0,00   0,00   0,00 400,00 500,00

